stock_id,images,age,city,highway,transmission,drive,engine,cylinder,horsepower,torque,rating_5,rating_4,rating_3,rating_2,rating_1,mileage,owner,event,recall,"store[T.Fremont, CA]","store[T.Fresno, CA]","store[T.Modesto, CA]","store[T.Pleasanton, CA]","store[T.Reno, NV]","store[T.Roseville, CA]","store[T.Sacramento, CA]","store[T.San Francisco, CA]","store[T.San Jose, CA]","store[T.Santa Rosa, CA]",Intercept,make[T.Audi],make[T.BMW],make[T.Buick],make[T.Cadillac],make[T.Chevrolet],make[T.Chrysler],make[T.Dodge],make[T.Fiat],make[T.Ford],make[T.GMC],make[T.Honda],make[T.Hyundai],make[T.Infiniti],make[T.Jaguar],make[T.Jeep],make[T.Kia],make[T.Land],make[T.Lexus],make[T.Lincoln],make[T.Mazda],make[T.Mercedes-Benz],make[T.Mercury],make[T.Mini],make[T.Mitsubishi],make[T.Nissan],make[T.Pontiac],make[T.Porsche],make[T.Scion],make[T.Smart],make[T.Subaru],make[T.Toyota],make[T.Volkswagen],make[T.Volvo],torque_log,horsepower_log,image_quad,image_cub,age_quad,age_cub,luxury,mileage_morethan_100k,predicted,price,pred_perc
15823315,20,11,17.0,25.0,0,1,3.0,6.0,230.0,200.0,43,13,2,1,1,88.0,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.298317366548036,5.438079308923196,400,8000,121,1331,1.0,0,14865.882758519598,11998.0,1.2390300682213367
16185892,23,4,18.0,27.0,0,1,3.0,6.0,300.0,300.0,0,0,0,0,0,22.0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.703782474656201,5.703782474656201,529,12167,16,64,1.0,0,33685.87529727328,25998.0,1.2957102583765396
16058033,24,4,16.0,25.0,0,0,4.4,8.0,445.0,480.0,0,0,0,0,0,53.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.173786103901937,6.09807428216624,576,13824,16,64,1.0,0,38120.206765116396,26998.0,1.4119640997524407
16058392,20,3,21.0,29.0,0,0,2.0,4.0,259.0,295.0,0,0,0,0,0,46.0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.68697535633982,5.556828061699537,400,8000,9,27,0.0,0,19926.339610451847,14998.0,1.3285997873351012
15210066,21,4,23.676431424766978,31.466045272969374,0,0,2.0,4.0,227.04213298222516,228.3531746031746,4,1,0,0,0,37.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.430893441891168,5.425135608109609,441,9261,16,64,1.0,0,21598.94504130821,16998.0,1.2706756701557953
15867375,20,6,23.676431424766978,31.466045272969374,0,0,1.8,4.0,227.04213298222516,228.3531746031746,61,27,4,1,1,20.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.430893441891168,5.425135608109609,400,8000,36,216,0.0,0,19384.370893765303,14599.0,1.3277875809141244
16243986,24,9,18.0,25.0,0,1,3.0,6.0,240.0,223.0,59,24,1,4,2,57.0,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407171771460119,5.480638923341991,576,13824,81,729,0.0,0,16689.368531303597,12599.0,1.3246581896423206
16057040,23,5,18.0,26.0,0,1,3.7,6.0,305.0,273.0,1,0,0,0,0,82.0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.60947179518496,5.720311776607412,529,12167,25,125,0.0,0,23490.76026949298,18998.0,1.2364859600743752
15989858,21,9,23.676431424766978,31.466045272969374,0,0,2.7,6.0,227.04213298222516,228.3531746031746,20,16,3,0,0,40.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.430893441891168,5.425135608109609,441,9261,81,729,0.0,0,12486.14732839623,9998.0,1.248864505740771
16062643,24,12,19.0,27.0,0,0,3.5,6.0,272.0,254.0,49,11,1,0,0,84.0,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.537334267018537,5.605802066295998,576,13824,144,1728,1.0,0,17590.72505369253,11998.0,1.466138110826182
